transID,itemID,transPrice,buyerID,sellerID,transDate,transAddress
1000,1000001,$29.00,x2015bht,x2019aqv,14062021,"""WestElmwoodSt.Val-d'OrQCJ9P7P7"""
1001,1000003,$19.00,x2018bdf,x2018atm,04082021,"""Gasp'e9sie-SudQCG0C8B8718LeatherwoodSt."""
1002,1000005,$22.00,x2018biz,x2015awn,04012021,"""91OverlookAve.Saint-AntoineNBE4V9J8"""
1003,1000007,$64.00,x2016ajm,x2020aao,18082021,"""CaraquetNBE1W5K43KirklandRd."""
1004,1000009,$27.00,x2015bce,x2018bgp,19062021,"""ListowelONN4W4G92GlendaleSt."""
1005,1000011,$86.00,x2014bjt,x2016blg,22032021,"""KincardineONN2Z1S68037E.RaceAve."""
1006,1000013,$43.00,x2015aya,x2014bbr,17022021,"""H'e9bertvilleQCG8N3V0646SherwoodAve."""
1007,1000015,$106.00,x2018bev,x2017abe,11072021,"""CranbrookBCV1C6H68691FultonStreet"""
1008,1000017,$111.00,x2017aey,x2017asp,21102021,"""856FranklinSt.MetchosinBCV9C9G8"""
1009,1000019,$29.00,x2016acl,x2018bls,05012021,"""BromontQCJ2L7R5874WestBohemiaRd."""
1010,1000021,$46.00,x2016asw,x2019adh,16042021,"""StouffvilleONL4A9V38903WestMeadowCourt"""
1011,1000023,$25.00,x2020bjs,x2015apd,16112021,"""Sainte-JulieQCJ3E1G288RyanAve."""
1012,1000025,$46.00,x2019agw,x2014agz,13012021,"""CourticeONL1E5G58973WestMilesAve."""
1013,1000027,$50.00,x2020bcb,x2020akm,05002021,"""AthabascaABT9S6Y4886WakehurstSt."""
1014,1000029,$20.00,x2018arx,x2018bed,02092021,"""692ThirdDr.SelkirkMBR1A9S4"""
1015,1000031,$88.00,x2020bet,x2019bhg,19012021,"""LaSarreQCJ9Z5N33GlenholmeCourt"""
1016,1000033,$111.00,x2019bdv,x2014bil,15082021,"""22UnionSt.LouisbourgNSB1C5K5"""
1017,1000035,$17.00,x2015bmi,x2014add,13052021,"""GananoqueONK7G8R58044LoganStreet"""
1018,1000037,$73.00,x2019bgo,x2017aey,06072021,"""42PrimroseSt.ChelseaQCJ9B6T4"""
1019,1000039,$27.00,x2014bah,x2015ajj,15022021,522AddisonCourtUnit77
1020,1000041,$49.00,x2020bmk,x2016abz,11072021,"""AppalachesQCG0R4C78435RockawayCircle"""
1021,1000043,$50.00,x2020aeb,x2014avf,11102021,"""TaberABT1G6G283SouthIroquoisSt."""
1022,1000045,$24.00,x2015aqy,x2014axf,06082021,"""296W.YoungDriveQuesnelBCV2J8V4"""
