shipmentID,ItemID,userID,userAddress,recyclerAddress,DateShipped,DateRecieved
2754350,,x2018azq,64MeadowbrookCourtMont'e9r'e9gie-Est QCJ0J4P7,"1SummerhouseSt.Ste.Anne,MBR5H7K4",14042019,16042019
2585097,,x2015abm,Perth ONK7H3A5636ChestnutSt.,"Collingwood,ONL9Y4K733LindaSt.",18112015,21112015
2890917,,x2020bhv,HantsCounty NSB0N8H5764SnakeHillDrive,"Joliette,QCJ6E6E87905SpringAve.",18092018,21092018
3111953,,x2018aaa,Athabasca ABT9S6Y4886WakehurstSt.,"Delhi,ONN4B8N59108OakwoodRd.",19072018,22072018
2416136,,x2019aev,SturgeonFalls ONP2B5T472GardenDr.,"Innisfil,ONL9S1H8269CarpenterDrive",92020,3092020
3377074,,x2015bee,7149WilliamSt.Quispamsis NBE2G6Y5,"296W.YoungDriveQuesnel,BCV2J8V4",6112017,9112017
2673717,,x2019apu,Dauphin MBR7N1N54EastChestnutStreet,"8829SE.SummerhouseDr.Laval-des-Rapides,QCH7N0J3",3072019,6072019
3647523,,x2018afa,Collingwood ONL9Y4K733LindaSt.,"Stouffville,ONL4A9V38903WestMeadowCourt",18002017,21002017
4219705,,x2015aqy,296W.YoungDriveQuesnel BCV2J8V4,"DeerIsland,NBE5V7G371LivingstonSt.",19072018,22072018
3264256,,x2020ado,Albanel QCG8M5B69HawthorneSt.,"Manitoulin,ONP0P3C37985AcademyDrive",2102016,5102016
2702249,,x2016aqb,762TempleSt.LaPlaine QCJ7M5E7,"Centreville,NBE7K8H4564W.PhilmontSt.",12032018,15032018
4053572,,x2017blv,530WestTalbotDriveKentville NSB4N5E6,"Penticton,BCV2A1C437HarveyRd.",16002016,19002016
3406705,,x2017ari,425E.KetchHarbourDr.FortFrances ONP9A3V9,"856FranklinSt.Metchosin,BCV9C9G8",12002015,15002015
2847820,,x2020awb,Woodstock NBE7M9X97380MeadowAve.,"68KetchHarbourSt.Duncan,BCV9L4V1",17072017,20072017
3476638,,x2016blc,Thompson MBR8N3R46PurpleFinchDr.,"TourdelaBourse,QCH4Z6J4794W.MonroeStreet",13062015,15062015
3137463,,x2018atm,L'Erable QCG0Y8C4456LakeviewRoad,"Torbay,LBA1K2E09812E.3rdAve.",3082019,6082019
3448741,,x2015adl,Stouffville ONL4A9V38903WestMeadowCourt,"HantsCounty,NSB0N8H5764SnakeHillDrive",14052017,16052017
3359149,,x2015bfo,64MeadowbrookCourtMont'e9r'e9gie-Est QCJ0J4P7,"8829SE.SummerhouseDr.Laval-des-Rapides,QCH7N0J3",7062016,10062016
4406137,,x2017baw,Gananoque ONK7G8R58044LoganStreet,"64MeadowbrookCourtMont'e9r'e9gie-Est,QCJ0J4P7",1032019,4032019
4234093,,x2016blg,KananaskisCountry ABT0L5L530OakMeadowAve.,"H'e9bertville,QCG8N3V0646SherwoodAve.",6072019,9072019
2799121,,x2019ava,Penticton BCV2A1C437HarveyRd.,"WestElmwoodSt.Val-d'Or,QCJ9P7P7",8052016,11052016
4094703,,x2018arc,Taber ABT1G6G283SouthIroquoisSt.,"Trail,BCV1R9T949N.ChurchDr.",3002016,6002016
2434727,,x2020bej,856FranklinSt.Metchosin BCV9C9G8,"ChristmasIsland,NSB1T9G077CoffeeDr.",8112015,11112015
2861448,,x2014adf,Centreville NBE7K8H4564W.PhilmontSt.,"856FranklinSt.Metchosin,BCV9C9G8",19092016,22092016
2803975,,x2019bbx,Trail BCV1R9T949N.ChurchDr.,"Caraquet,NBE1W5K43KirklandRd.",7112016,10112016
2719448,,x2018blq,972LibertyStreetCobourg ONK9A8A7,"9CatherineSt.Wolfville,NSB4P2J7",10022017,13022017
3363631,,x2019ayd,Dauphin MBR7N1N54EastChestnutStreet,"9810FairgroundAvenueGreely,ONK4P4M4",20042019,23042019
3476515,,x2016bcp,Woodstock NBE7M9X97380MeadowAve.,"Elgin,ONN0L7P922DunbarSt.",6032020,9032020
2547215,,x2014bbr,Rivi'e8re-du-Loup QCG5R4V167AirportAve.,"Cap-Rouge,QCG1Y8A4169EastValleyViewSt.",16022020,19022020
4113353,,x2019atw,Comox BCV9M6C584BrownSt.,"7231SycamoreSt.HollandLanding,ONL9N9A0",15052017,18052017
2423621,,x2018aue,Rivi'e8re-du-Loup QCG5R4V167AirportAve.,"KananaskisCountry,ABT0L5L530OakMeadowAve.",19102020,22102020
4098165,,x2016auf,FortSt.John BCV1J1Y4838WalnutSt.,"Elgin,ONN0L7P922DunbarSt.",1072018,4072018
3723564,,x2017ayc,Listowel ONN4W4G92GlendaleSt.,"Vermilion,ABT9X7N37568ThompsonStreet",9072015,12072015
3246713,,x2020bad,Saint-Prime QCG8J3T59407LongfellowSt.,"8953NorthSpruceSt.Masson-Angers,QCJ8M6L5",9052019,12052019
2712418,,x2020bej,856FranklinSt.Metchosin BCV9C9G8,"762TempleSt.LaPlaine,QCJ7M5E7",17072016,20072016
4134519,,x2015bbv,Vermilion ABT9X7N37568ThompsonStreet,"Woodstock,NBE7M9X97380MeadowAve.",15072019,18072019
3610806,,x2015ase,Sainte-Julie QCJ3E1G288RyanAve.,"Cap-Rouge,QCG1Y8A4169EastValleyViewSt.",9032015,12032015
4099912,,x2020bco,ChristmasIsland NSB1T9G077CoffeeDr.,"425E.KetchHarbourDr.FortFrances,ONP9A3V9",3022015,6022015
4091781,,x2019bdj,Stouffville ONL4A9V38903WestMeadowCourt,"7231SycamoreSt.HollandLanding,ONL9N9A0",3092018,6092018
3650513,,x2019bcz,Delhi ONN4B8N59108OakwoodRd.,"7149WilliamSt.Quispamsis,NBE2G6Y5",16112015,19112015
3730174,,x2017azj,Laterri'e8re QCG7N4R11GrandStreet,"CampobelloIsland,NBE5E7V99933GreenviewSt.",14062020,16062020
